source_id,doc_type,publisher,title,url,date_label,brand_id,fdd_issue_date,fdd_fiscal_year,registration_state,file_held,file_location,item19_extracted,item20_extracted,roster_extracted,in_production_csw,notes
SRC-1851-franchise-franchise-deep-dive-golden-chick--adf636,trade_press,1851 Franchise,"Franchise Deep Dive: Golden Chick's Franchise Costs, Fees, Profit and Data",https://1851franchise.com/franchise-deep-dive-golden-chicks-franchise-costs-fees-profit-and-data-2721347,2023 FDD,,,,,,,,,,yes,
SRC-1851-franchise-guide-to-the-pollo-campero-franch-5d8cc4,trade_press,1851 Franchise,Guide to the Pollo Campero Franchise Disclosure Document,https://1851franchise.com/pollocampero/pollo-campero-franchise-disclosure-document-2727640,2024 FDD,,,,,,,,,,yes,
SRC-1851-franchise-how-to-read-layne-s-chicken-finge-40a4db,trade_press,1851 Franchise,How to Read Layne's Chicken Fingers' 2026 Franchise Disclosure Document,https://1851franchise.com/layneschickenfingers/2026-fdd-2732305,2026 FDD,,,,,,,,,,yes,
SRC-boulder-canes,trade_press,The Boulder Group,Net Lease Raising Cane's Property Profile and Cap Rates,https://www.bouldergroup.com/blog/net-lease-raising-canes/,2026,,,,,,,,,,yes,
SRC-boulder-q2-2026,trade_press,The Boulder Group,Single Tenant Net Lease Report — Q2 2026,https://www.bouldergroup.com/blog/single-tenant-net-lease-report-for-q2-2026/,2026-07,,,,,,,,,,yes,
SRC-boulder-tenant-q1-2026,trade_press,The Boulder Group,Q1 2026 Net Lease Tenant Profiles Report,https://www.bouldergroup.com/media/pdf/NetLeaseProfile26Q1.pdf,2026-03,,,,,,,,,,yes,
SRC-boulder-zaxbys,trade_press,The Boulder Group,Net Lease Zaxby's Property Profile and Cap Rates,https://www.bouldergroup.com/blog/net-lease-zaxbys/,2026,,,,,,,,,,yes,
SRC-bullrealty-zaxbys,trade_press,Bull Realty,"Zaxby's NNN Lease Investment Opportunity — Midwest City, OK",https://www.bullrealty.com/properties/sale/1458190?propertyId=1458190-sale,2026,,,,,,,,,,yes,
SRC-chattanoogan-cfa,trade_press,Chattanoogan.com,New Construction Hixson Chick-fil-A Ground Lease Is At Record Tennessee Cap Rate,https://www.chattanoogan.com/2026/7/13/520868/New-Construction-Hixson-ChickfilA.aspx,2026-07-13,,,,,,,,,,yes,
SRC-chowhound-newsandwiches,trade_press,Chowhound,The 11 Best New Fast Food Chicken Sandwiches Of 2026 So Far,https://www.chowhound.com/2211182/best-new-fast-food-chicken-sandwiches-2026/,2026,,,,,,,,,,yes,
